gid,mmsi,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,ts_insert_utc,dt_pos_utc,dt_static_utc,dt_insert_utc,vessel_type_main,vessel_type_sub,message_type,eeid,geom,dest_code,dept_code,etd
19944,414497000.0,9612088,DE XIN XING LONG,BOOA6,Cargo,70,,A,190,32,China,414,JIANG YIN,04251800,7.0,120.22614166666666,31.92630333333333,0.0,175.4,0.0,0.0,Moored,5,T-AIS,20220602051022,20220602050539,20220602051026,2022-06-02 05:10:22,2022-06-02 05:05:39,2022-06-02 05:10:26,,,3,5.028070273416739e+18,0101000020E610000029A6E51A790E5E40AAD71A3722ED3F40,USBKU,MYJHB,4251800
131901,538006179.0,9746205,ZIRCON,V7KN6,Tanker,80,,A,183,32,Marshall Islands,538,USMSY,06031100,8.0,-85.92404833333332,24.68850333333333,12.0,300.8,0.0,305.0,Under Way Using Engine,0,S-AIS,20220602065328,20220602054417,20220602065412,2022-06-02 06:53:28,2022-06-02 05:44:17,2022-06-02 06:54:12,Oil And Chemical Tanker,Chemical Oil Products Tanker,1,8.165767200092803e+18,0101000020E6100000C1E59E9B237B55C088DA23C141B03840,USMSY,MYJHB,6030900
140486,215698000.0,9473925,SONGA JADE,9HA2077,Tanker,80,,A,144,22,Malta,215,ANTWERP,06010330,9.2,3.396316666666667,51.80485,0.1,50.0,0.0,218.0,At Anchor,1,T-AIS,20220602041136,20220602040818,20220602041139,2022-06-02 04:11:36,2022-06-02 04:08:18,2022-06-02 04:11:39,,,3,4.797660490561703e+18,0101000020E6100000678B9112A82B0B40C217265305E74940,USZAQ,IDTBA,5312000
146237,352561000.0,9187588,DING SHIN NO.98,3ENC9,Tanker,81,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",A,114,19,Panama,352,HIGH SEAS,05301000,6.4,119.81864333333333,22.76157666666667,9.3,295.8,0.0,306.0,Under Way Using Engine,0,T-AIS,20220530050114,20220530033516,20220530050120,2022-05-30 05:01:14,2022-05-30 03:35:16,2022-05-30 05:01:20,Oil And Chemical Tanker,Chemical Oil Products Tanker,1,5.024170185351996e+18,0101000020E610000053F001A764F45D40E4BA3CB0F6C23640,USHPZ,TWKHH,5151000
162168,215474000.0,9378321,SONGA CRYSTAL,9HA5127,Tanker,80,,A,127,20,Malta,215,TURKEY FOR ORDERS,05281900,8.7,33.461666666666666,35.34,0.0,223.0,0.0,0.0,Moored,5,S-AIS,20220531233653,20220531163230,20220531233715,2022-05-31 23:36:53,2022-05-31 16:32:30,2022-05-31 23:37:15,,,27,4.809557206374015e+18,0101000020E61000004B7EB1E417BB4040EC51B81E85AB4140,USTKR,ILHFA,5261430
174587,441101000.0,9443853,GRAND ACE11,D7TH,Tanker,80,,A,183,32,South Korea,441,>US ANC,06121000,11.2,141.30333333333334,35.525,15.0,52.0,0.0,0.0,Under Way Using Engine,0,S-AIS,20220602002652,20220601235658,20220602002720,2022-06-02 00:26:52,2022-06-01 23:56:58,2022-06-02 00:27:20,,,27,4.959963568281398e+18,0101000020E6100000824E1BE8B4A961403333333333C34140,USANC,JPIWK,5292300
