gid,mmsi,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,ts_insert_utc,dt_pos_utc,dt_static_utc,dt_insert_utc,vessel_type_main,vessel_type_sub,message_type,eeid,geom,dest_code,dept_code,etd
2722,441366000.0,9344887,S MERMAID,DSPP5,Cargo,70,,A,81,14,South Korea,441,JP NAGAHAMA,06012300,5.9,132.491,33.64785,0.0,295.4,0.0,12.0,At Anchor,1,T-AIS,20220601195937,20220601182148,20220601195941,2022-06-01 19:59:37,2022-06-01 18:21:48,2022-06-01 19:59:41,General Cargo Ship,,3,4.894107219824391e+18,0101000020E6100000C1CAA145B68F6040575BB1BFECD24040,SIPIR,,6012300
88905,577312000.0,8609917,SEVVAL,YJUK9,Cargo,70,,A,100,18,Vanuatu,577,IT SAL,06060500,7.1,28.96280333333333,36.28137,10.0,288.5,0.0,0.0,Under Way Using Engine,0,T-AIS,20220602083712,20220602083455,20220602083716,2022-06-02 08:37:12,2022-06-02 08:34:55,2022-06-02 08:37:16,,,1,4.623549272727033e+18,0101000020E61000007D257D477AF63C40AB09A2EE03244240,ITSAL,TRMER,5271300
91677,477001100.0,9619464,MSC AGADIR,VRLC2,Cargo,74,"Carrying DG,HS or MP,IMO hazard or Pollutant Category OS",A,299,48,Hong Kong,477,ITLIV,06010200,10.5,10.30644,43.57510166666667,0.0,15.5,0.0,173.0,Moored,5,T-AIS,20220602084019,20220602083941,20220602084025,2022-06-02 08:40:19,2022-06-02 08:39:41,2022-06-02 08:40:25,Container Ship,,3,5.506668203078481e+18,0101000020E61000005B5F24B4E59C2440AE1A71EE9CC94540,ITLIV,ITNAP,6010600
125155,620455000.0,9046667,YARA,D6A2455,Unknown,100,,A,90,13,Comoros,620,VASTO,06041830,5.8,12.573401666666667,34.91407333333333,7.2,59.5,0.0,58.0,Under Way Using Engine,0,T-AIS,20220602082552,20220602081722,20220602082630,2022-06-02 08:25:52,2022-06-02 08:17:22,2022-06-02 08:26:30,,,1,5.08279572900108e+18,0101000020E6100000479C3BE794252940FB67E05A00754140,ITVSO,MYJHB,5291630
159600,538005811.0,9682370,SILVER CAROLYN,V7HE9,Tanker,80,,A,183,32,Marshall Islands,538,"FUJAIRAH,UAE",06040400,8.2,67.15685833333333,24.73085666666667,10.7,222.7,0.0,219.0,Under Way Using Engine,0,T-AIS,20220602033108,20220602032409,20220602033112,2022-06-02 03:31:08,2022-06-02 03:24:09,2022-06-02 03:31:12,Oil And Chemical Tanker,Chemical Oil Products Tanker,1,8.296371589286547e+18,0101000020E610000064F188F709CA50409D65296C19BB3840,ITFCM,QASIM,5311100
163903,538007374.0,9804459,NEW VISION,V7HR8,Tanker,80,,A,276,48,Marshall Islands,538,TRIESTE,05300600,11.0,13.667325,45.64044666666667,0.0,302.2,0.0,168.0,At Anchor,1,T-AIS,20220602033510,20220602032819,20220602033514,2022-06-02 03:35:10,2022-06-02 03:28:19,2022-06-02 03:35:14,Oil And Chemical Tanker,Crude Oil Tanker,3,6.681831122874227e+18,0101000020E61000003D9B559FAB552B4031150828FAD14640,ITTRS,RUNVS,5171900
