gid,mmsi,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,ts_insert_utc,dt_pos_utc,dt_static_utc,dt_insert_utc,vessel_type_main,vessel_type_sub,message_type,eeid,geom,dest_code,dept_code,etd
67649,538007229.0,9748708,PAN DELIGHT,V7ZW3,Cargo,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",A,300,50,Marshall Islands,538,"PHD,AUS",06032200,8.1,116.71637666666666,-13.12449,11.8,165.7,-0.7142446133345274,166.0,Under Way Using Engine,0,S-AIS,20220602084215,20220602081822,20220602084242,2022-06-02 08:42:15,2022-06-02 08:18:22,2022-06-02 08:42:42,Bulk Carrier,,3,8.023903811830633e+18,0101000020E6100000DABC841DD92D5D40AB5B3D27BD3F2AC0,GBGLA,MYJHB,6041100
107956,565213000.0,9301926,LUCIE SCHULTE,9VEK9,Cargo,79,No Additional Information,A,210,30,Singapore,565,GBTIL,06032300,10.6,-5.4541,49.79315,10.7,91.0,0.0,89.0,Under Way Using Engine,0,T-AIS,20220602084200,20220602083555,20220602084205,2022-06-02 08:42:00,2022-06-02 08:35:55,2022-06-02 08:42:05,Container Ship,,1,4.952696668424272e+18,0101000020E610000054742497FFD015C044696FF085E54840,GBTIL,IEORK,6010500
140036,538009902.0,9694191,EMMA GRACE,V7A5317,Tanker,89,No Additional Information,A,183,32,Marshall Islands,538,AUGHINISH,06031200,11.0,-11.121296666666666,45.231115,12.4,358.7,0.0,359.0,Under Way Using Engine,0,S-AIS,20220602000939,20220601040831,20220602000957,2022-06-02 00:09:39,2022-06-01 04:08:31,2022-06-02 00:09:57,,,1,6.710823045475425e+18,0101000020E6100000F0E4C0981A3E26C0BA4E232D959D4640,IEAUG,,5252230
155566,440445000.0,9296884,CT FRONTIER,D7DZ,Tanker,80,,A,141,24,South Korea,440,OPEN SEA,05312200,6.1,103.82646666666666,1.215733333333333,0.0,252.0,0.0,289.0,At Anchor,1,T-AIS,20220602033909,20220602031738,20220602033913,2022-06-02 03:39:09,2022-06-02 03:17:38,2022-06-02 03:39:13,,,3,4.937423579911334e+18,0101000020E6100000512472D4E4F45940022EB5CBA473F33F,ISKJF,MYJHB,5302200
