gid,mmsi,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,ts_insert_utc,dt_pos_utc,dt_static_utc,dt_insert_utc,vessel_type_main,vessel_type_sub,message_type,eeid,geom,dest_code,dept_code,etd
318,372409000.0,9454527,HL PORT HEDLAND,3FEM3,Cargo,70,,A,292,45,Panama,372,"VANCOUVER,CA",06122100,8.4,154.0799,47.82533333333333,10.3,44.0,0.0,44.0,Under Way Using Engine,0,S-AIS,20220602083722,20220602055455,20220602083820,2022-06-02 08:37:22,2022-06-02 05:54:55,2022-06-02 08:38:20,Bulk Carrier,,1,4.994583358260545e+18,0101000020E61000006ADE718A8E426340907BCD85A4E94740,CAVAN,MYJHB,6122100
87089,538007480.0,9347554,HYUNDAI FAITH,V7PS7,Cargo,70,,A,340,46,Marshall Islands,538,CAHAL,06131300,13.3,32.39305,30.3499,0.0,200.0,0.0,292.0,At Anchor,1,T-AIS,20220602081757,20220602073426,20220602081803,2022-06-02 08:17:57,2022-06-02 07:34:26,2022-06-02 08:18:03,,,3,5.150607249568258e+18,0101000020E6100000AED85F764F324040D3DEE00B93593E40,CAHAL,MYJHB,6011900
131150,538006742.0,9718404,SILVER ERVILIA,V7QV2,Tanker,80,,A,183,32,Marshall Islands,538,QUEBEC CANADA,06011200,11.4,-71.20070166666666,46.82869333333333,0.0,62.9,0.0,236.0,Under Way Using Engine,0,T-AIS,20220602072549,20220602072310,20220602072618,2022-06-02 07:25:49,2022-06-02 07:23:10,2022-06-02 07:26:18,Oil And Chemical Tanker,Chemical Oil Products Tanker,1,6.54221953442574e+18,0101000020E610000081A5CD4BD8CC51C0398A869F126A4740,CAQUE,NLRTM,5130700
139943,538006489.0,9692349,SILVER EUPLECTA,V7IW6,Tanker,80,,A,183,32,Marshall Islands,538,CAMTR,06111200,10.7,-9.077156666666667,48.94446833333333,11.7,253.1,0.0,251.0,Under Way Using Engine,0,S-AIS,20220602042731,20220601230346,20220602042751,2022-06-02 04:27:31,2022-06-01 23:03:46,2022-06-02 04:27:51,Oil And Chemical Tanker,Chemical Oil Products Tanker,1,7.418169661949303e+18,0101000020E6100000E0002014812722C01CE39D56E4784840,CAMTR,GBFAL,6011200
157159,441557000.0,9465605,JEY HOPE,DSQF6,Tanker,80,,A,114,18,South Korea,441,PELINTUNG IDN,05310130,5.6,101.64120166666666,1.66225,0.0,247.3,0.0,247.0,Moored,5,T-AIS,20220531164545,20220531134845,20220531164548,2022-05-31 16:45:45,2022-05-31 13:48:45,2022-05-31 16:45:48,Oil And Chemical Tanker,Chemical Oil Products Tanker,3,4.900306266381984e+18,0101000020E6100000561EB772096959407F6ABC749398FA3F,CAPHY,SGSIN,5292030
