gid,mmsi,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,ts_insert_utc,dt_pos_utc,dt_static_utc,dt_insert_utc,vessel_type_main,vessel_type_sub,message_type,eeid,geom,dest_code,dept_code,etd
13265,373438000.0,9187954,GOLDEN ATLANTIC,3FGL3,Cargo,70,,A,171,26,Panama,373,IN KRI,06111730,9.6,121.290815,21.953120000000002,9.3,201.7,0.0,203.0,Underway Sailing,8,T-AIS,20220530214510,20220530161331,20220530214516,2022-05-30 21:45:10,2022-05-30 16:13:31,2022-05-30 21:45:16,,,1,4.835476878896806e+18,0101000020E6100000EB8B84B69C525E40DD291DACFFF33540,INKRI,,6111730
82190,440019000.0,9557214,GOLDEN MAPLE,D7AY,Cargo,70,,A,177,28,South Korea,440,KANDLA,06050300,5.8,58.17833333333334,24.85,10.0,111.0,0.0,0.0,Under Way Using Engine,0,S-AIS,20220602082254,20220602044301,20220602082306,2022-06-02 08:22:54,2022-06-02 04:43:01,2022-06-02 08:23:06,Tug,,27,5.117521935273175e+18,0101000020E6100000083A6DA0D3164D409A99999999D93840,INIXY,AEOFJ,6011730
160636,538006485.0,9307633,BALTIC SUNRISE,V7NP2,Tanker,80,,A,333,60,Marshall Islands,538,VADINAR,06080230,21.0,54.60166666666667,-1.4233333333333331,12.0,33.0,0.0,0.0,Under Way Using Engine,0,S-AIS,20220602034024,20220602033428,20220602034040,2022-06-02 03:40:24,2022-06-02 03:34:28,2022-06-02 03:40:40,Oil And Chemical Tanker,Crude Oil Tanker,27,7.706400038101015e+18,0101000020E61000009D36D069034D4B40C5925F2CF9C5F6BF,INVAD,NLRTM,4261730
165325,574004850.0,9342786,AMIAS,XVGD7,Tanker,81,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",A,141,24,Vietnam,574,KANDLA,06140800,10.3,6.866666666666666,37.536966666666665,13.6,80.0,0.0,80.0,Under Way Using Engine,0,T-AIS,20220531005535,20220530154042,20220531005538,2022-05-31 00:55:35,2022-05-30 15:40:42,2022-05-31 00:55:38,,,1,6.025353480614879e+18,0101000020E61000007777777777771B400F30E052BBC44240,INIXY,ESALG,5290800
