gid,mmsi,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,ts_insert_utc,dt_pos_utc,dt_static_utc,dt_insert_utc,vessel_type_main,vessel_type_sub,message_type,eeid,geom,dest_code,dept_code,etd
87627,538008302.0,9824992,ROBUSTA,V7A2215,Cargo,70,,A,202,34,Marshall Islands,538,"ALGECIRAS,SPAIN",06080700,7.7,30.008111666666668,35.34197,12.8,262.1,0.0,260.0,Under Way Using Engine,0,T-AIS,20220602083411,20220602081517,20220602083416,2022-06-02 08:34:11,2022-06-02 08:15:17,2022-06-02 08:34:16,,,3,6.761770016260054e+18,0101000020E6100000A50C2F9B13023E40481B47ACC5AB4140,ESALG,TRMER,5220430
89483,353667000.0,9548316,PAN IVY,3FLT2,Cargo,70,,A,180,28,Panama,353,"PT,LEI",06090800,9.7,25.42833333333333,33.77333333333333,11.0,287.0,0.0,0.0,Under Way Using Engine,0,S-AIS,20220602083456,20220601140051,20220602083521,2022-06-02 08:34:56,2022-06-01 14:00:51,2022-06-02 08:35:21,Bulk Carrier,,27,5.149947718500911e+18,0101000020E61000000D74DA40A76D394063C92F96FCE24040,PTLEI,EGSCN,5300100
89736,538005048.0,9613317,DELICATA,V7AQ5,Cargo,70,,A,200,32,Marshall Islands,538,TARRAGONA SPAIN,06061000,8.1,24.32283333333333,33.04083333333333,12.7,291.1,0.0,294.0,Under Way Using Engine,0,S-AIS,20220602083701,20220602082338,20220602083718,2022-06-02 08:37:01,2022-06-02 08:23:38,2022-06-02 08:37:18,General Cargo Ship,,1,5.124148601757454e+18,0101000020E6100000AFB99034A55238406DA0D3063A854040,ESTAR,EGALY,5280700
109761,636015664.0,9619426,MSC ALTAMIRA,D5CC7,Cargo,73,"Carrying DG,HS or MP,IMO hazard or Pollutant Category Z",A,299,48,Liberia,636,ESALG,06042000,13.6,-27.24641166666667,35.17494833333333,19.1,86.6,0.0,87.0,Under Way Using Engine,0,S-AIS,20220602084157,20220602034156,20220602084220,2022-06-02 08:41:57,2022-06-02 03:41:56,2022-06-02 08:42:20,Container Ship,,1,4.830891155462346e+18,0101000020E6100000ABAFC1D5143F3BC00414FDB464964140,ESALG,BSFPO,5251000
140203,224447000.0,9280146,MENCEY,EAPV,Tanker,80,,A,104,14,Spain,224,LA GOMERA,05302300,7.4,-17.9,27.78,0.0,48.0,0.0,0.0,Moored,5,S-AIS,20220602042505,20220531132359,20220602042531,2022-06-02 04:25:05,2022-05-31 13:23:59,2022-06-02 04:25:31,Oil And Chemical Tanker,Oil Products Tanker,27,5.049874026892152e+18,0101000020E61000006666666666E631C048E17A14AEC73B40,ESSSG,ESTCI,5301000
