vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9379923,DONGBANG  GIANT NO5,South Korea,Cargo,MALTA FREEPORT DISTRIPARK,MALTA,06/30/2022, , , ,MALTA FREEPORT DISTRIPARK,MALTA, 
9179567,NICOLA,Antigua and Barbuda,Cargo,MARSAXLOKK,MALTA,06/09/2022, , , ,MARSAXLOKK,MALTA, 
9270737,KRITI,Greece,Tanker,VALLETTA,MALTA,06/08/2022, , , ,VALLETTA,MALTA, 
9464326,CLAXTON BAY,Hong Kong,Tanker,MARSA,MALTA,06/10/2022, , , ,MARSA,MALTA, 
9786243,SM FALCON,Panama,Tanker,VALLETTA,MALTA,06/13/2022, , , ,VALLETTA,MALTA, 
9143491,FIOR DI LEVANTE,Greece,Passenger,KYLLINI,GREECE,01/21/2022, , , ,KYLLINI,GREECE, 
9292943,X-PRESS MONTECERVINO,Malta,Cargo,PIRAEUS,GREECE,06/12/2022, , , ,PIRAEUS,GREECE, 
9486166,M/T CHEM ALYA,Liberia,Tanker,AGIO THEODOROI,GREECE,06/09/2022, , , ,AGIO THEODOROI,GREECE, 
9577422,MV IRON DUKE,UK,Cargo,MYLAKI,GREECE,06/08/2022, , , ,MYLAKI,GREECE, 
9117868,LINA,Saint Kitts and Nevis,Cargo,CONSTANTA,ROMANIA,06/15/2022, , , ,CONSTANTA,ROMANIA, 
9016090,AZZA H,Panama,Cargo,THESSALONIKI,GREECE,06/12/2022, , , ,THESSALONIKI,GREECE, 
9235957,AYAT,Saint Kitts and Nevis,Cargo,MIDIA,ROMANIA,06/06/2022, , , ,MIDIA,ROMANIA, 
8952467,NORDBERG,Palau,Cargo,CONSTANTA,ROMANIA,06/12/2022, , , ,CONSTANTA,ROMANIA, 
9465150,OCEAN ROYAL,Malta,Cargo,VARNA,BULGARIA,05/23/2022, , , ,VARNA,BULGARIA, 
9207778,ANNA S,Liberia,Cargo,CONSTANTA,ROMANIA,06/12/2022, , , ,CONSTANTA,ROMANIA, 
9214056,ORIENTAL FRONTIER,South Korea,Cargo,MYLAKI,GREECE,05/30/2022, , , ,MYLAKI,GREECE, 
