vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9432804,ROSEMARY,Panama,Cargo,ROBERT'S BANK,CANADA,05/13/2022, , , ,ROBERT'S BANK,CANADA, 
9347542,HYUNDAI COURAGE,Marshall Islands,Cargo,VANCOUVER,CANADA,06/19/2022, , , ,VANCOUVER,CANADA, 
9454527,HL PORT HEDLAND,Panama,Cargo,VANCOUVER,CANADA,06/13/2022, , , ,VANCOUVER,CANADA, 
9346304,HYUNDAI BRAVE,Marshall Islands,Cargo,VANCOUVER,CANADA,06/20/2022, , , ,VANCOUVER,CANADA, 
9395939,SM QINGDAO,South Korea,Cargo,VANCOUVER,CANADA,06/15/2022, , , ,VANCOUVER,CANADA, 
9825013,UROPHYLLA,Marshall Islands,Cargo,PORT BURWELL,CANADA,06/08/2022, , , ,PORT BURWELL,CANADA, 
9746205,ZIRCON,Marshall Islands,Tanker,QUEBEC,CANADA,06/19/2022, , , ,QUEBEC,CANADA, 
9692349,SILVER EUPLECTA,Marshall Islands,Tanker,MONTREAL,CANADA,06/11/2022, , , ,MONTREAL,CANADA, 
9495416,K. CONFIDENCE,Panama,Cargo,PORT-CARTIER,CANADA,06/12/2022, , , ,PORT-CARTIER,CANADA, 
9542491,PARASKEVI 2,Cyprus,Cargo,LOMOND,CANADA,07/16/2022, , , ,LOMOND,CANADA, 
9347554,HYUNDAI FAITH,Marshall Islands,Cargo,HALIFAX,CANADA,06/16/2022, , , ,HALIFAX,CANADA, 
9477309,AS EMMA,Liberia,Cargo,POINTE NOIRE,CANADA,06/23/2022, , , ,POINTE NOIRE,CANADA, 
9228203,RUNFU8,Liberia,Cargo,POINTE NOIRE,CANADA,06/08/2022, , , ,POINTE NOIRE,CANADA, 
9498705,CAROLINE OLDENDORFF,Liberia,Cargo,PRINCE RUPERT,CANADA,06/24/2022, , , ,PRINCE RUPERT,CANADA, 
9312949,SM YANTIAN,Liberia,Cargo,PRINCE RUPERT,CANADA,06/19/2022, , , ,PRINCE RUPERT,CANADA, 
