vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9292577,KRITI EMERALD,Liberia,Tanker,ROTTERDAM,NETHERLANDS,06/24/2022, , , ,ROTTERDAM,NETHERLANDS, 
9486178,CHEM LYRA,Liberia,Tanker,DORDRECHT,NETHERLANDS,06/22/2022, , , ,DORDRECHT,NETHERLANDS, 
9718404,SILVER ERVILIA,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,06/16/2022, , , ,ROTTERDAM,NETHERLANDS, 
9467665,WEST TRADER,Singapore,Cargo,ROTTERDAM,NETHERLANDS,06/16/2022, , , ,ROTTERDAM,NETHERLANDS, 
9284776,GRAND PAVO,Panama,Cargo,ANTWERPEN,BELGIUM,06/13/2022, , , ,ANTWERPEN,BELGIUM, 
9473913,SONGA OPAL,Marshall Islands,Tanker,AMSTERDAM,NETHERLANDS,06/13/2022, , , ,AMSTERDAM,NETHERLANDS, 
9686546,YOUNG HARMONY,South Korea,Cargo,TERNEUZEN,NETHERLANDS,06/12/2022, , , ,TERNEUZEN,NETHERLANDS, 
9444467,SONGA SAPPHIRE,Malta,Tanker,BORSSELE,NETHERLANDS,06/11/2022, , , ,BORSSELE,NETHERLANDS, 
9638642,GENEVA QUEEN,Marshall Islands,Cargo,IJMUIDEN/VELSEN,NETHERLANDS,06/07/2022, , , ,IJMUIDEN/VELSEN,NETHERLANDS, 
9705756,CHEM NEW ORLEANS,Liberia,Tanker,ROTTERDAM,NETHERLANDS,06/12/2022, , , ,ROTTERDAM,NETHERLANDS, 
9863326,HMM GDANSK,Panama,Cargo,ANTWERPEN,BELGIUM,06/18/2022, , , ,ANTWERPEN,BELGIUM, 
9464560,ATLANTIC SYMPHONY,Hong Kong,Tanker,AMSTERDAM,NETHERLANDS,06/11/2022, , , ,AMSTERDAM,NETHERLANDS, 
9591181,LEDRA,Cyprus,Cargo,ROTTERDAM,NETHERLANDS,03/06/2022, , , ,ROTTERDAM,NETHERLANDS, 
9444455,SONGA PEARL,Malta,Tanker,ROTTERDAM,NETHERLANDS,06/11/2022, , , ,ROTTERDAM,NETHERLANDS, 
9461489,KOI,Liberia,Cargo,ANTWERPEN,BELGIUM,06/10/2022, , , ,ANTWERPEN,BELGIUM, 
9444479,SONGA RUBY,Malta,Tanker,ROTTERDAM,NETHERLANDS,06/07/2022, , , ,ROTTERDAM,NETHERLANDS, 
9182411,MN TALOS,Barbados,Cargo,ROTTERDAM,NETHERLANDS,06/23/2022, , , ,ROTTERDAM,NETHERLANDS, 
