vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9360336,RIDGEBURY SATURN,Marshall Islands,Tanker,GIBRALTAR,GIBRALTAR,06/22/2022, , , ,GIBRALTAR,GIBRALTAR, 
9325441,X-PRESS MACHU PICCHU,Singapore,Cargo,GIBRALTAR,GIBRALTAR,06/17/2022, , , ,GIBRALTAR,GIBRALTAR, 
9333125,B. ATLANTIC,Marshall Islands,Tanker,LAS PALMAS DE GRAN CANARIA,SPAIN,06/14/2022, , , ,LAS PALMAS DE GRAN CANARIA,SPAIN, 
9280146,MENCEY,Spain,Tanker,SAN SEBASTIAN DE LA GOMERA,SPAIN,06/11/2022, , , ,SAN SEBASTIAN DE LA GOMERA,SPAIN, 
9294953,AL LUQTA,Panama,Cargo,LAS PALMAS DE GRAN CANARIA,SPAIN,06/11/2022, , , ,LAS PALMAS DE GRAN CANARIA,SPAIN, 
9238363,ONEGO MERCHANT,Madeira,Cargo,AVILES,SPAIN,06/14/2022, , , ,AVILES,SPAIN, 
9545209,GAS AEGEAN,Liberia,Tanker,AVILES,SPAIN,06/13/2022, , , ,AVILES,SPAIN, 
9837602,UNIVERSAL WINNER,Panama,Tanker,SINES,PORTUGAL,06/11/2022, , , ,SINES,PORTUGAL, 
9280134,GUANARTEME,Spain,Tanker,SINES,PORTUGAL,06/10/2022, , , ,SINES,PORTUGAL, 
9548316,PAN IVY,Panama,Cargo,LEIXOES,PORTUGAL,06/09/2022, , , ,LEIXOES,PORTUGAL, 
9381639,B.STAR,Marshall Islands,Tanker,GIBRALTAR,GIBRALTAR,06/09/2022, , , ,GIBRALTAR,GIBRALTAR, 
9033854,NORTHSTAR GLORY,Panama,Cargo,CEUTA,SPAIN,06/12/2022, , , ,CEUTA,SPAIN, 
9674828,HERBANIA,Spain,Tanker,GIJON,SPAIN,06/15/2022, , , ,GIJON,SPAIN, 
9348699,FOS EXPRESS,Liberia,Cargo,VALENCIA,SPAIN,06/13/2022, , , ,VALENCIA,SPAIN, 
9461594,CMA CGM MURCIA,Malta,Cargo,CADIZ,SPAIN,06/15/2022, , , ,CADIZ,SPAIN, 
9139646,KRETA  S,Antigua and Barbuda,Cargo,VALENCIA,SPAIN,06/14/2022, , , ,VALENCIA,SPAIN, 
9669029,MORNING POST,Marshall Islands,Cargo,BARCELONA,SPAIN,06/12/2022, , , ,BARCELONA,SPAIN, 
9323493,X-PRESS IRAZU,Singapore,Cargo,BARCELONA,SPAIN,06/12/2022,GENOVA,ITALY, ,BARCELONA,SPAIN, 
9235361,MARIA FRANCISCA,Antigua and Barbuda,Cargo,VIGO,SPAIN,06/09/2022, , , ,VIGO,SPAIN, 
9868338,HMM ROTTERDAM,Panama,Cargo,ALGECIRAS,SPAIN,06/15/2022, , , ,ALGECIRAS,SPAIN, 
9743291,CHOW,Marshall Islands,Cargo,GIBRALTAR,GIBRALTAR,06/15/2022, , , ,GIBRALTAR,GIBRALTAR, 
9500089,UML VERONICA,Antigua and Barbuda,Cargo,LAS PALMAS DE GRAN CANARIA,SPAIN,06/27/2022, , , ,LAS PALMAS DE GRAN CANARIA,SPAIN, 
9197076,BRIGHT ELEGANCE,Panama,Cargo,BAION,SPAIN,06/11/2022, , , ,BAION,SPAIN, 
