vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9323493,X-PRESS IRAZU,Singapore,Cargo,LIVORNO,ITALY,08/06/2022,GENOVA,ITALY, ,LIVORNO,ITALY, 
9323493,X-PRESS IRAZU,Singapore,Cargo,GENOVA,ITALY,02/26/2022,LIVORNO,ITALY, ,GENOVA,ITALY, 
9323493,X-PRESS IRAZU,Singapore,Cargo,GENOVA,ITALY,12/10/2022,LIVORNO,ITALY, ,GENOVA,ITALY, 
9487433,PAN SPIRIT,Panama,Cargo,MARGHERA,ITALY,06/12/2022, , , ,MARGHERA,ITALY, 
9479010,SEA CREDENCE,Singapore,Cargo,RAVENNA,ITALY,06/12/2022, , , ,RAVENNA,ITALY, 
9690133,YOUNG GLORY,South Korea,Cargo,RAVENNA,ITALY,06/10/2022, , , ,RAVENNA,ITALY, 
9302956,CMA CGM BEIRA,Malta,Cargo,TRIESTE,ITALY,06/11/2022, , , ,TRIESTE,ITALY, 
9873670,GREAT THITA,Marshall Islands,Tanker,GELA,ITALY,02/23/2022, , , ,GELA,ITALY, 
9112351,ANGORA,Malta,Cargo,RAVARINO,ITALY,06/12/2022, , , ,RAVARINO,ITALY, 
9619426,MSC ALTAMIRA,Liberia,Cargo,NAPOLI,ITALY,06/12/2022, , , ,NAPOLI,ITALY, 
9858618,GLAD YOUNG,Marshall Islands,Cargo,TARANTO,ITALY,05/31/2022, , , ,TARANTO,ITALY, 
9152325,SANGLOBE RUBY,Panama,Cargo,ALICUDI,ITALY,06/08/2022, , , ,ALICUDI,ITALY, 
9625243,CIRCLE HARMONY,Hong Kong,Cargo,GERMIGNAGA,ITALY,05/23/2022, , , ,GERMIGNAGA,ITALY, 
