vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9342786,AMIAS,Vietnam,Tanker,KANDLA,INDIA,06/14/2022, , , ,KANDLA,INDIA, 
9352597,CT ACE,South Korea,Tanker,NEEMRANA,INDIA,06/10/2022, , , ,NEEMRANA,INDIA, 
9672507,PACIFIC VISION,Malta,Cargo,MUMBAI (EX BOMBAY),INDIA,06/14/2022, , , ,MUMBAI (EX BOMBAY),INDIA, 
9416094,CARIBBEAN 1,Panama,Tanker,KANDLA,INDIA,06/13/2022, , , ,KANDLA,INDIA, 
9485033,OCEAN CENTURY,Malta,Cargo,MUNDRA,INDIA,05/20/2022, , , ,MUNDRA,INDIA, 
9162112,PARAMITA,South Korea,Tanker,KANDLA,INDIA,06/15/2022, , , ,KANDLA,INDIA, 
9307633,BALTIC SUNRISE,Marshall Islands,Tanker,VADINAR,INDIA,06/08/2022, , , ,VADINAR,INDIA, 
9864382,PAN POSEIDON,Panama,Cargo,NAVLAKHI,INDIA,06/11/2022, , , ,NAVLAKHI,INDIA, 
9512109,SKY BLUE,South Korea,Tanker,MUNDRA,INDIA,06/11/2022, , , ,MUNDRA,INDIA, 
9666649,PACIFIC DREAM,Malta,Cargo,MUNDRA,INDIA,06/03/2022, , , ,MUNDRA,INDIA, 
9330587,DS OCEAN,South Korea,Tanker,ZIPL-SEZ/AHMEDABAD,INDIA,06/14/2022, , , ,ZIPL-SEZ/AHMEDABAD,INDIA, 
9264790,MINERAL CHINA,South Korea,Cargo,NAVLAKHI,INDIA,06/11/2022, , , ,NAVLAKHI,INDIA, 
9557214,GOLDEN MAPLE,South Korea,Cargo,KANDLA,INDIA,06/05/2022, , , ,KANDLA,INDIA, 
9300788,CHANG YOUNG,South Korea,Tanker,KANDLA,INDIA,05/06/2022, , , ,KANDLA,INDIA, 
9592795,NEW ELLY,Panama,Cargo,BEDI,INDIA,06/04/2022, , , ,BEDI,INDIA, 
9562855,WOOHYUN HOPE,South Korea,Cargo,KANDLA,INDIA,06/11/2022, , , ,KANDLA,INDIA, 
9230268,STO CAMELLIA,South Korea,Tanker,KANDLA,INDIA,06/05/2022, , , ,KANDLA,INDIA, 
9381354,DL VIOLET,South Korea,Tanker,PORT JAWAHARLAL NEHRU,INDIA,10/06/2022, , , ,PORT JAWAHARLAL NEHRU,INDIA, 
9519676,DL DAISY,Liberia,Tanker,PIPAVAV (VICTOR) PORT,INDIA,06/13/2022, , , ,PIPAVAV (VICTOR) PORT,INDIA, 
9139696,JAG VIJAYA,India,Tanker,PORT JAWAHARLAL NEHRU,INDIA,06/05/2022, , , ,PORT JAWAHARLAL NEHRU,INDIA, 
9723928,KMTC DUBAI,South Korea,Cargo,JAWAHARLAL NEHRU (NHAVA SHEVA),INDIA,06/11/2022, , , ,JAWAHARLAL NEHRU (NHAVA SHEVA),INDIA, 
9543603,GLOVIS MERMAID,Bahamas,Cargo,MUMBAI (EX BOMBAY),INDIA,06/01/2022, , , ,MUMBAI (EX BOMBAY),INDIA, 
9200603,GEUM GANG,South Korea,Tanker,MUMBAI (EX BOMBAY),INDIA,06/05/2022, , , ,MUMBAI (EX BOMBAY),INDIA, 
9550321,KATYA ATK,Turkey,Cargo,HAZIRA PORT/SURAT,INDIA,06/03/2022, , , ,HAZIRA PORT/SURAT,INDIA, 
9842487,SM SAMCHEONPO,Marshall Islands,Cargo,HAZIRA,INDIA,06/12/2022, , , ,HAZIRA,INDIA, 
9578323,CELESTIAL VICTORY,Cook Islands,Tanker,MUMBAI (EX BOMBAY),INDIA,06/09/2022, , , ,MUMBAI (EX BOMBAY),INDIA, 
9366196,GOLDEN DENISE,Panama,Tanker,MUMBAI (EX BOMBAY),INDIA,06/08/2022, , , ,MUMBAI (EX BOMBAY),INDIA, 
9421257,WOOYANG HERMES,South Korea,Cargo,MUMBAI (EX BOMBAY),INDIA,06/13/2022, , , ,MUMBAI (EX BOMBAY),INDIA, 
9161481,KIANA,Panama,Cargo,VASCO DA GAMA,INDIA,05/31/2022, , , ,VASCO DA GAMA,INDIA, 
