vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9171113,BLUE BEAD,Palau,Cargo,RIGA,LATVIA,06/28/2022, , , ,RIGA,LATVIA, 
9475301,SM VISION,Panama,Cargo,DE-KASTRI,RUSSIAN FEDERATION (RUSSIA),06/12/2022, , , ,DE-KASTRI,RUSSIAN FEDERATION (RUSSIA), 
9749568,GLOVIS SUN,Marshall Islands,Cargo,EMDEN,GERMANY,06/16/2022, , , ,EMDEN,GERMANY, 
9484223,BBC NAPLES,Antigua and Barbuda,Cargo,SZCZECIN,POLAND,06/19/2022, , , ,SZCZECIN,POLAND, 
9336062,MORNING CELESTA,Bahamas,Cargo,BREMERHAVEN,GERMANY,06/14/2022, , , ,BREMERHAVEN,GERMANY, 
9702431,GLOVIS SPLENDOR,Marshall Islands,Cargo,BREMERHAVEN,GERMANY,06/12/2022, , , ,BREMERHAVEN,GERMANY, 
9863302,HMM COPENHAGEN,Panama,Cargo,HAMBURG,GERMANY,06/28/2022, , , ,HAMBURG,GERMANY, 
9868364,HMM ST PETERSBURG,Panama,Cargo,HAMBURG,GERMANY,06/21/2022, , , ,HAMBURG,GERMANY, 
9868326,HMM OSLO,Panama,Cargo,HAMBURG,GERMANY,06/15/2022, , , ,HAMBURG,GERMANY, 
9804461,FREUD,Marshall Islands,Tanker,MURMANSK,RUSSIAN FEDERATION (RUSSIA),06/16/2022, , , ,MURMANSK,RUSSIAN FEDERATION (RUSSIA), 
9674189,GLOVIS SUPERIOR,South Korea,Cargo,BREMERHAVEN,GERMANY,06/12/2022, , , ,BREMERHAVEN,GERMANY, 
9383431,MORNING LUCY,Panama,Cargo,BREMERHAVEN,GERMANY,06/11/2022, , , ,BREMERHAVEN,GERMANY, 
9446001,MORNING LENA,South Korea,Cargo,BREMERHAVEN,GERMANY,06/14/2022, , , ,BREMERHAVEN,GERMANY, 
9602148,SINOKOR SUNRISE,Marshall Islands,Cargo,ROSTOCK,GERMANY,06/04/2022, , , ,ROSTOCK,GERMANY, 
9365960,X-PRESS MULHACEN,Malta,Cargo,TORNEA (TORNIO),FINLAND,06/14/2022, , , ,TORNEA (TORNIO),FINLAND, 
9311452,ANDROS GLORY,Liberia,Cargo,GDANSK,POLAND,06/11/2022, , , ,GDANSK,POLAND, 
9694191,EMMA GRACE,Marshall Islands,Tanker,VENTSPILS,LATVIA,06/12/2022, , , ,VENTSPILS,LATVIA, 
9353735,X-PRESS GODAVARI,Malta,Cargo,KOTKA,FINLAND,06/12/2022, , , ,KOTKA,FINLAND, 
8813116,EFTYXIA GAS,Liberia,Tanker,TAMAN',RUSSIAN FEDERATION (RUSSIA),11/06/2022, , , ,TAMAN',RUSSIAN FEDERATION (RUSSIA), 
9444027,HL SINES,South Korea,Cargo,HAMBURG,GERMANY,07/23/2022, , , ,HAMBURG,GERMANY, 
9634907,SEN TREASURE,Panama,Cargo,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),06/13/2022, , , ,NAKHODKA,RUSSIAN FEDERATION (RUSSIA), 
9357468,DD VICTORY,Panama,Cargo,POSYET,RUSSIAN FEDERATION (RUSSIA),06/02/2022, , , ,POSYET,RUSSIAN FEDERATION (RUSSIA), 
9546758,YUNDA,Belize,Cargo,ZARUBINO,RUSSIAN FEDERATION (RUSSIA),06/13/2022, , , ,ZARUBINO,RUSSIAN FEDERATION (RUSSIA), 
9115602,OCEAN PRIDE LP,Togo,Cargo,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),06/11/2022, , , ,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA), 
9301304,FESCO YANINA,Russian Federation,Cargo,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),10/06/2022, , , ,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA), 
9111943,DUKE,South Korea,Cargo,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),06/06/2022, , , ,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA), 
9357444,DD VOYAGER,Panama,Cargo,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),06/06/2022, , , ,NAKHODKA,RUSSIAN FEDERATION (RUSSIA), 
9228124,WOORI SKY,South Korea,Cargo,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),06/11/2022, , , ,NAKHODKA,RUSSIAN FEDERATION (RUSSIA), 
9250244,DARA,Liberia,Cargo,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),06/03/2022, , , ,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA), 
9187368,CRYSTAL OCEAN,South Korea,Cargo,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),06/10/2022, , , ,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA), 
9537599,TONG YUN,Panama,Cargo,VANINO,RUSSIAN FEDERATION (RUSSIA),06/15/2022, , , ,VANINO,RUSSIAN FEDERATION (RUSSIA), 
9131838,HH PIONEER,Panama,Cargo,VANINO,RUSSIAN FEDERATION (RUSSIA),06/15/2022, , , ,VANINO,RUSSIAN FEDERATION (RUSSIA), 
9135511,GOLDEN SUN,Panama,Cargo,VANINO,RUSSIAN FEDERATION (RUSSIA),06/12/2022, , , ,VANINO,RUSSIAN FEDERATION (RUSSIA), 
